ocel:eid,ocel:timestamp,ocel:activity,ocel:type:MATNR,ocel:type:WERKS,ocel:type:QNAME,ocel:type:NLPLA,ocel:type:NLQNR
660,1998-08-10 10:19:22,Transfer Confirmation,['R100012'],['R301'],['D020740'],['0080004073'],['0080004073_0000000159']
661,1998-08-10 10:19:44,Transfer Confirmation,['R100012'],['R301'],['D020740'],['0080004074'],['0080004074_0000000160']
662,1998-08-26 08:09:36,Transfer Confirmation,['R100018001'],['R301'],['D020740'],['0080004139'],['0080004139_0000000161']
663,1998-08-26 08:09:49,Transfer Confirmation,['R100018002'],['R301'],['D020740'],['0080004139'],['0080004139_0000000162']
664,1998-08-26 08:09:59,Transfer Confirmation,['R100018003'],['R301'],['D020740'],['0080004139'],['0080004139_0000000163']
665,1998-08-26 08:10:10,Transfer Confirmation,['R100018004'],['R301'],['D020740'],['0080004139'],['0080004139_0000000164']
666,1998-08-26 08:10:34,Transfer Confirmation,['R100018005'],['R301'],['D020740'],['0080004139'],['0080004139_0000000165']
667,1998-08-26 08:10:40,Transfer Confirmation,['R100018006'],['R301'],['D020740'],['0080004139'],['0080004139_0000000166']
668,1998-08-26 08:11:13,Transfer Confirmation,['R100018001'],['R301'],['D020740'],['0080004140'],['0080004140_0000000167']
669,1998-08-26 08:11:19,Transfer Confirmation,['R100018002'],['R301'],['D020740'],['0080004140'],['0080004140_0000000168']
670,1998-08-26 08:11:23,Transfer Confirmation,['R100018003'],['R301'],['D020740'],['0080004140'],['0080004140_0000000169']
671,1998-08-26 08:11:30,Transfer Confirmation,['R100018004'],['R301'],['D020740'],['0080004140'],['0080004140_0000000170']
672,1998-08-26 08:11:35,Transfer Confirmation,['R100018005'],['R301'],['D020740'],['0080004140'],['0080004140_0000000171']
673,1998-08-26 08:11:39,Transfer Confirmation,['R100018006'],['R301'],['D020740'],['0080004140'],['0080004140_0000000172']
674,1998-08-26 08:11:57,Transfer Confirmation,['R100018001'],['R301'],['D020740'],['0080004141'],['0080004141_0000000173']
675,1998-08-26 08:12:03,Transfer Confirmation,['R100018002'],['R301'],['D020740'],['0080004141'],['0080004141_0000000174']
676,1998-08-26 08:12:07,Transfer Confirmation,['R100018003'],['R301'],['D020740'],['0080004141'],['0080004141_0000000175']
677,1998-08-26 08:12:12,Transfer Confirmation,['R100018004'],['R301'],['D020740'],['0080004141'],['0080004141_0000000176']
678,1998-08-26 08:12:16,Transfer Confirmation,['R100018005'],['R301'],['D020740'],['0080004141'],['0080004141_0000000177']
679,1998-08-26 08:12:20,Transfer Confirmation,['R100018006'],['R301'],['D020740'],['0080004141'],['0080004141_0000000178']
680,1998-08-26 08:12:41,Transfer Confirmation,['R100018001'],['R301'],['D020740'],['0080004142'],['0080004142_0000000179']
681,1998-08-26 08:12:46,Transfer Confirmation,['R100018002'],['R301'],['D020740'],['0080004142'],['0080004142_0000000180']
682,1998-08-26 08:12:51,Transfer Confirmation,['R100018003'],['R301'],['D020740'],['0080004142'],['0080004142_0000000181']
683,1998-08-26 08:12:57,Transfer Confirmation,['R100018004'],['R301'],['D020740'],['0080004142'],['0080004142_0000000182']
684,1998-08-26 08:13:03,Transfer Confirmation,['R100018005'],['R301'],['D020740'],['0080004142'],['0080004142_0000000183']
685,1998-08-26 08:13:08,Transfer Confirmation,['R100018006'],['R301'],['D020740'],['0080004142'],['0080004142_0000000184']
686,1998-12-17 11:23:24,Transfer Confirmation,['R100019001'],['R301'],['D020740'],['0080004553'],['0080004553_0000000201']
687,1998-12-17 11:23:44,Transfer Confirmation,['R100019002'],['R301'],['D020740'],['0080004553'],['0080004553_0000000202']
688,1998-12-17 11:23:51,Transfer Confirmation,['R100019003'],['R301'],['D020740'],['0080004553'],['0080004553_0000000203']
689,1998-12-17 11:23:59,Transfer Confirmation,['R100019004'],['R301'],['D020740'],['0080004553'],['0080004553_0000000204']
690,1998-12-17 11:27:46,Transfer Confirmation,['R100019004'],['R301'],['D020740'],['0080004556'],['0080004556_0000000216']
691,1998-12-17 11:27:55,Transfer Confirmation,['R100019003'],['R301'],['D020740'],['0080004556'],['0080004556_0000000215']
692,1998-12-17 11:28:04,Transfer Confirmation,['R100019002'],['R301'],['D020740'],['0080004556'],['0080004556_0000000214']
693,1998-12-17 11:28:11,Transfer Confirmation,['R100019001'],['R301'],['D020740'],['0080004556'],['0080004556_0000000213']
694,1998-12-17 11:28:19,Transfer Confirmation,['R100019004'],['R301'],['D020740'],['0080004555'],['0080004555_0000000212']
695,1998-12-17 11:28:28,Transfer Confirmation,['R100019003'],['R301'],['D020740'],['0080004555'],['0080004555_0000000211']
696,1998-12-17 11:28:37,Transfer Confirmation,['R100019002'],['R301'],['D020740'],['0080004555'],['0080004555_0000000210']
697,1998-12-17 11:28:46,Transfer Confirmation,['R100019001'],['R301'],['D020740'],['0080004555'],['0080004555_0000000209']
698,1998-12-17 11:28:55,Transfer Confirmation,['R100019004'],['R301'],['D020740'],['0080004554'],['0080004554_0000000208']
699,1998-12-17 11:29:03,Transfer Confirmation,['R100019003'],['R301'],['D020740'],['0080004554'],['0080004554_0000000207']
700,1998-12-17 11:29:10,Transfer Confirmation,['R100019002'],['R301'],['D020740'],['0080004554'],['0080004554_0000000206']
701,1998-12-17 11:29:18,Transfer Confirmation,['R100019001'],['R301'],['D020740'],['0080004554'],['0080004554_0000000205']
702,1998-12-22 15:44:05,Transfer Confirmation,['R-1270C'],['1200'],['ROSEMANNM'],['02-02-03'],['02-02-03_0000000313']
703,1998-12-22 15:44:05,Transfer Confirmation,['R-1270C'],['1200'],['ROSEMANNM'],['03-02-03'],['03-02-03_0000000314']
704,1998-12-22 15:44:05,Transfer Confirmation,['R-1270C'],['1200'],['ROSEMANNM'],['01-02-04'],['01-02-04_0000000315']
705,1998-12-22 15:44:05,Transfer Confirmation,['R-1270C'],['1200'],['ROSEMANNM'],['02-02-04'],['02-02-04_0000000316']
706,1998-12-22 15:44:05,Transfer Confirmation,['R-1270C'],['1200'],['ROSEMANNM'],['03-02-04'],['03-02-04_0000000317']
707,1998-12-22 15:44:05,Transfer Confirmation,['R-1270C'],['1200'],['ROSEMANNM'],['03-02-01'],['03-02-01_0000000308']
708,1998-12-22 15:44:05,Transfer Confirmation,['R-1270C'],['1200'],['ROSEMANNM'],['01-02-02'],['01-02-02_0000000309']
709,1998-12-22 15:44:05,Transfer Confirmation,['R-1270C'],['1200'],['ROSEMANNM'],['02-02-02'],['02-02-02_0000000310']
710,1998-12-22 15:44:05,Transfer Confirmation,['R-1270C'],['1200'],['ROSEMANNM'],['03-02-02'],['03-02-02_0000000311']
711,1998-12-22 15:44:05,Transfer Confirmation,['R-1270C'],['1200'],['ROSEMANNM'],['01-02-03'],['01-02-03_0000000312']
712,1998-12-22 23:58:00,Goods Receipt,['R-1270C'],['1200'],['ROSEMANNM'],['02-02-03'],['02-02-03_0000000313']
713,1998-12-22 23:58:00,Goods Receipt,['R-1270C'],['1200'],['ROSEMANNM'],['03-02-03'],['03-02-03_0000000314']
714,1998-12-22 23:58:00,Goods Receipt,['R-1270C'],['1200'],['ROSEMANNM'],['01-02-04'],['01-02-04_0000000315']
715,1998-12-22 23:58:00,Goods Receipt,['R-1270C'],['1200'],['ROSEMANNM'],['02-02-04'],['02-02-04_0000000316']
716,1998-12-22 23:58:00,Goods Receipt,['R-1270C'],['1200'],['ROSEMANNM'],['03-02-04'],['03-02-04_0000000317']
717,1998-12-22 23:58:00,Goods Receipt,['R-1270C'],['1200'],['ROSEMANNM'],['03-02-01'],['03-02-01_0000000308']
718,1998-12-22 23:58:00,Goods Receipt,['R-1270C'],['1200'],['ROSEMANNM'],['01-02-02'],['01-02-02_0000000309']
719,1998-12-22 23:58:00,Goods Receipt,['R-1270C'],['1200'],['ROSEMANNM'],['02-02-02'],['02-02-02_0000000310']
720,1998-12-22 23:58:00,Goods Receipt,['R-1270C'],['1200'],['ROSEMANNM'],['03-02-02'],['03-02-02_0000000311']
721,1998-12-22 23:58:00,Goods Receipt,['R-1270C'],['1200'],['ROSEMANNM'],['01-02-03'],['01-02-03_0000000312']
722,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['04-02-01'],['04-02-01_0000000161']
723,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['03-02-01'],['03-02-01_0000000160']
724,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['02-02-01'],['02-02-01_0000000159']
725,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['01-02-01'],['01-02-01_0000000158']
726,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['05-01-10'],['05-01-10_0000000157']
727,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['05-02-01'],['05-02-01_0000000162']
728,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['05-02-02'],['05-02-02_0000000167']
729,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['04-02-02'],['04-02-02_0000000166']
730,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['03-02-02'],['03-02-02_0000000165']
731,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['02-02-02'],['02-02-02_0000000164']
732,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['01-02-02'],['01-02-02_0000000163']
733,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['04-01-10'],['04-01-10_0000000156']
734,1999-02-23 13:54:57,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['02-01-09'],['02-01-09_0000000148']
735,1999-02-23 13:54:57,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['01-01-09'],['01-01-09_0000000147']
736,1999-02-23 13:54:57,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['05-01-08'],['05-01-08_0000000146']
737,1999-02-23 13:54:57,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['04-01-08'],['04-01-08_0000000145']
738,1999-02-23 13:54:57,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['03-01-08'],['03-01-08_0000000144']
739,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['03-01-09'],['03-01-09_0000000150']
740,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['03-01-10'],['03-01-10_0000000155']
741,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['02-01-10'],['02-01-10_0000000154']
742,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['01-01-10'],['01-01-10_0000000153']
743,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['05-01-09'],['05-01-09_0000000152']
744,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['04-01-09'],['04-01-09_0000000151']
745,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['01-02-03'],['01-02-03_0000000168']
746,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['03-02-06'],['03-02-06_0000000185']
747,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['02-02-06'],['02-02-06_0000000184']
748,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['01-02-06'],['01-02-06_0000000183']
749,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['05-02-05'],['05-02-05_0000000182']
750,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['04-02-05'],['04-02-05_0000000181']
751,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['04-02-06'],['04-02-06_0000000186']
752,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['04-02-07'],['04-02-07_0000000191']
753,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['03-02-07'],['03-02-07_0000000190']
754,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['02-02-07'],['02-02-07_0000000189']
755,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['01-02-07'],['01-02-07_0000000188']
756,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['05-02-06'],['05-02-06_0000000187']
757,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['03-02-05'],['03-02-05_0000000180']
758,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['01-02-04'],['01-02-04_0000000173']
759,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['05-02-03'],['05-02-03_0000000172']
760,1999-02-23 13:54:57,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['04-02-03'],['04-02-03_0000000171']
761,1999-02-23 13:54:58,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['03-02-03'],['03-02-03_0000000170']
762,1999-02-23 13:54:58,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['02-02-03'],['02-02-03_0000000169']
763,1999-02-23 13:54:58,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['02-02-04'],['02-02-04_0000000174']
764,1999-02-23 13:54:58,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['02-02-05'],['02-02-05_0000000179']
765,1999-02-23 13:54:58,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['01-02-05'],['01-02-05_0000000178']
766,1999-02-23 13:54:58,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['05-02-04'],['05-02-04_0000000177']
767,1999-02-23 13:54:58,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['04-02-04'],['04-02-04_0000000176']
768,1999-02-23 13:54:58,Transfer Confirmation,['M-10'],['3500'],['ROSEMANN'],['03-02-04'],['03-02-04_0000000175']
769,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['05-01-02'],['05-01-02_0000000116']
770,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['01-01-03'],['01-01-03_0000000117']
771,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['02-01-03'],['02-01-03_0000000118']
772,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['03-01-03'],['03-01-03_0000000119']
773,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['04-01-03'],['04-01-03_0000000120']
774,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['05-01-03'],['05-01-03_0000000121']
775,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['01-01-04'],['01-01-04_0000000122']
776,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['02-01-04'],['02-01-04_0000000123']
777,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['03-01-04'],['03-01-04_0000000124']
778,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['01-01-01'],['01-01-01_0000000107']
779,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['02-01-01'],['02-01-01_0000000108']
780,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['03-01-01'],['03-01-01_0000000109']
781,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['04-01-01'],['04-01-01_0000000110']
782,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['05-01-01'],['05-01-01_0000000111']
783,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['01-01-02'],['01-01-02_0000000112']
784,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['02-01-02'],['02-01-02_0000000113']
785,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['03-01-02'],['03-01-02_0000000114']
786,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['04-01-02'],['04-01-02_0000000115']
787,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['04-01-04'],['04-01-04_0000000125']
788,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['04-01-06'],['04-01-06_0000000135']
789,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['05-01-06'],['05-01-06_0000000136']
790,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['01-01-07'],['01-01-07_0000000137']
791,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['02-01-07'],['02-01-07_0000000138']
792,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['03-01-07'],['03-01-07_0000000139']
793,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['04-01-07'],['04-01-07_0000000140']
794,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['05-01-07'],['05-01-07_0000000141']
795,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['01-01-08'],['01-01-08_0000000142']
796,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['02-01-08'],['02-01-08_0000000143']
797,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['05-01-04'],['05-01-04_0000000126']
798,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['01-01-05'],['01-01-05_0000000127']
799,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['02-01-05'],['02-01-05_0000000128']
800,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['03-01-05'],['03-01-05_0000000129']
801,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['04-01-05'],['04-01-05_0000000130']
802,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['03-01-06'],['03-01-06_0000000134']
803,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['02-01-06'],['02-01-06_0000000133']
804,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['01-01-06'],['01-01-06_0000000132']
805,1999-02-23 13:54:58,Transfer Confirmation,['M-08'],['3500'],['ROSEMANN'],['05-01-05'],['05-01-05_0000000131']
806,1999-02-23 13:54:58,Transfer Confirmation,['M-01'],['3500'],['ROSEMANN'],['B-001'],['B-001_0000000103']
807,1999-02-23 13:54:58,Transfer Confirmation,['M-01'],['3500'],['ROSEMANN'],['B-001'],['B-001_0000000103']
808,1999-02-23 13:54:58,Transfer Confirmation,['M-01'],['3500'],['ROSEMANN'],['B-001'],['B-001_0000000103']
809,1999-02-23 13:54:58,Transfer Confirmation,['M-01'],['3500'],['ROSEMANN'],['B-001'],['B-001_0000000103']
810,1999-02-23 13:54:58,Transfer Confirmation,['M-01'],['3500'],['ROSEMANN'],['B-001'],['B-001_0000000103']
811,1999-02-23 13:54:58,Transfer Confirmation,['M-01'],['3500'],['ROSEMANN'],['B-002'],['B-002_0000000105']
812,1999-02-23 13:54:58,Transfer Confirmation,['M-01'],['3500'],['ROSEMANN'],['B-002'],['B-002_0000000105']
813,1999-02-23 13:54:58,Transfer Confirmation,['M-01'],['3500'],['ROSEMANN'],['B-001'],['B-001_0000000103']
814,1999-02-23 13:54:58,Transfer Confirmation,['M-01'],['3500'],['ROSEMANN'],['B-001'],['B-001_0000000103']
815,1999-02-23 13:54:58,Transfer Confirmation,['M-01'],['3500'],['ROSEMANN'],['B-001'],['B-001_0000000103']
816,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['04-02-01'],['04-02-01_0000000161']
817,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['03-02-01'],['03-02-01_0000000160']
818,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['02-02-01'],['02-02-01_0000000159']
819,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['01-02-01'],['01-02-01_0000000158']
820,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['05-01-10'],['05-01-10_0000000157']
821,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['05-02-01'],['05-02-01_0000000162']
822,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['05-02-02'],['05-02-02_0000000167']
823,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['04-02-02'],['04-02-02_0000000166']
824,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['03-02-02'],['03-02-02_0000000165']
825,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['02-02-02'],['02-02-02_0000000164']
826,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['01-02-02'],['01-02-02_0000000163']
827,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['04-01-10'],['04-01-10_0000000156']
828,1999-02-23 23:58:00,Goods Receipt,['M-08'],['3500'],['ROSEMANN'],['02-01-09'],['02-01-09_0000000148']
829,1999-02-23 23:58:00,Goods Receipt,['M-08'],['3500'],['ROSEMANN'],['01-01-09'],['01-01-09_0000000147']
830,1999-02-23 23:58:00,Goods Receipt,['M-08'],['3500'],['ROSEMANN'],['05-01-08'],['05-01-08_0000000146']
831,1999-02-23 23:58:00,Goods Receipt,['M-08'],['3500'],['ROSEMANN'],['04-01-08'],['04-01-08_0000000145']
832,1999-02-23 23:58:00,Goods Receipt,['M-08'],['3500'],['ROSEMANN'],['03-01-08'],['03-01-08_0000000144']
833,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['03-01-09'],['03-01-09_0000000150']
834,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['03-01-10'],['03-01-10_0000000155']
835,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['02-01-10'],['02-01-10_0000000154']
836,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['01-01-10'],['01-01-10_0000000153']
837,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['05-01-09'],['05-01-09_0000000152']
838,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['04-01-09'],['04-01-09_0000000151']
839,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['01-02-03'],['01-02-03_0000000168']
840,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['03-02-06'],['03-02-06_0000000185']
841,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['02-02-06'],['02-02-06_0000000184']
842,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['01-02-06'],['01-02-06_0000000183']
843,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['05-02-05'],['05-02-05_0000000182']
844,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['04-02-05'],['04-02-05_0000000181']
845,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['04-02-06'],['04-02-06_0000000186']
846,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['04-02-07'],['04-02-07_0000000191']
847,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['03-02-07'],['03-02-07_0000000190']
848,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['02-02-07'],['02-02-07_0000000189']
849,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['01-02-07'],['01-02-07_0000000188']
850,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['05-02-06'],['05-02-06_0000000187']
851,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['03-02-05'],['03-02-05_0000000180']
852,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['01-02-04'],['01-02-04_0000000173']
853,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['05-02-03'],['05-02-03_0000000172']
854,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['04-02-03'],['04-02-03_0000000171']
855,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['03-02-03'],['03-02-03_0000000170']
856,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['02-02-03'],['02-02-03_0000000169']
857,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['02-02-04'],['02-02-04_0000000174']
858,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['02-02-05'],['02-02-05_0000000179']
859,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['01-02-05'],['01-02-05_0000000178']
860,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['05-02-04'],['05-02-04_0000000177']
861,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['04-02-04'],['04-02-04_0000000176']
862,1999-02-23 23:58:00,Goods Receipt,['M-10'],['3500'],['ROSEMANN'],['03-02-04'],['03-02-04_0000000175']
863,1999-02-23 23:58:00,Goods Receipt,['M-08'],['3500'],['ROSEMANN'],['05-01-02'],['05-01-02_0000000116']
864,1999-02-23 23:58:00,Goods Receipt,['M-08'],['3500'],['ROSEMANN'],['01-01-03'],['01-01-03_0000000117']
865,1999-02-23 23:58:00,Goods Receipt,['M-08'],['3500'],['ROSEMANN'],['02-01-03'],['02-01-03_0000000118']
866,1999-02-23 23:58:00,Goods Receipt,['M-08'],['3500'],['ROSEMANN'],['03-01-03'],['03-01-03_0000000119']
867,1999-02-23 23:58:00,Goods Receipt,['M-08'],['3500'],['ROSEMANN'],['04-01-03'],['04-01-03_0000000120']
868,1999-02-23 23:58:00,Goods Receipt,['M-08'],['3500'],['ROSEMANN'],['05-01-03'],['05-01-03_0000000121']
869,1999-02-23 23:58:00,Goods Receipt,['M-08'],['3500'],['ROSEMANN'],['01-01-04'],['01-01-04_0000000122']
870,1999-02-23 23:58:00,Goods Receipt,['M-08'],['3500'],['ROSEMANN'],['02-01-04'],['02-01-04_0000000123']
871,1999-02-23 23:58:00,Goods Receipt,['M-08'],['3500'],['ROSEMANN'],['03-01-04'],['03-01-04_0000000124']
